 초기이월금 등록
저장하기
타입	계정코드	계정이름	이월금
자산	3010000	당좌자산	24,457,403
자산	3010100	현금	24,457,403
자산	3010200	당좌예금	0
자산	3010300	보통예금	0
자산	3010400	기타제예금	0
자산	3010800	외상매출금	0
자산	3010900	대손충당금	0
자산	3011000	받을어음	0
자산	3011100	대손충당금	0
자산	3011300	대손충당금	0
자산	3011500	대손충당금	0
자산	3011700	대손충당금	0
자산	3012100	대손충당금	0
자산	3012300	가지급금	0
자산	3012400	부가세대급금	0
자산	3012500	선납세금	0
자산	3012700	전도금	0
자산	3020000	재고자산	0
자산	3020100	상품	0
자산	3020200	매입환출 및 에누리	0
자산	3020300	매입할인	0
자산	3020400	관세환급금	0
자산	3020500	제품	0
자산	3020600	관세환급금	0
자산	3020700	원재료	0
자산	3020800	매입환출 및 에누리	0
자산	3020900	매입할인	0
자산	3021000	부재료	0
자산	3021100	매입환출 및 에누리	0
자산	3021200	매입할인	0
자산	3021500	재공품	0
자산	3030000	투자자산	0
자산	3030500	대손충당금	0
자산	3030700	현재가치 할인차금	0
자산	3030800	대손충당금	0
자산	3031000	현재가치 할인차금	0
자산	3031100	대손충당금	0
자산	3031600	대손충당금	0
자산	3032100	국민연금전환금	0
자산	3040000	유형자산	0
자산	3040100	토지	0
자산	3040200	건물	0
자산	3040300	감가상각누계액	0
자산	3040500	감가상각누계액	0
자산	3040700	감가상각누계액	0
자산	3040800	차량운반구	0
자산	3040900	감가상각누계액	0
자산	3041000	공구와기구	0
자산	3041100	감가상각누계액	0
자산	3041200	비품	0
자산	3041300	감가상각누계액	0
자산	3041400	시설장치	0
자산	3041500	감가상각누계액	0
자산	3050000	무형자산	0
자산	3050100	영업권	0
자산	3050200	산업재산권	0
자산	3050300	광업권	0
자산	3050600	소프트웨어	0
부채	4010000	유동부채	0
부채	4010100	외상매입금	0
부채	4010200	지급어음	0
부채	4010300	미지급금	0
부채	4010500	부가세 예수금	0
부채	4010700	가수금	0
부채	4011000	단기차입금	0
부채	4011400	미지급 배당금	0
부채	4020000	고정부채	0
부채	4020100	사채	0
부채	4020200	사채할인발행차금	0
부채	4020300	장기차입금	0
부채	4020400	임대보증금	0
부채	4020500	퇴직급여충당금	0
부채	4020600	퇴직보험충당금	0
자본	5010000	기본금	0
자본	5020000	수익금	0
자본	5030000	인출금	0
	합계	24,457,403	
	대차 차액	24,457,403	
