 예산작성
※ 전년결산은 전년 회기를 [결산후 이월]하면 표시됩니다. (설정 - 회계기수/결산 메뉴)
※ 예산은 최하위단계 계정과목에만 입력할 수 있습니다.
※ 입력 한 후 [저장하기]를 클릭해 주세요.

 엑셀

 인쇄

저장하기

계정코드	계정이름	전년예산	전년결산	예산	증감(예산대비)	비고
A1	총예산	24,300,000	0	60,000,000	35,700,000		
A1-01	헌금	24,000,000	0	47,000,000	23,000,000		
A1-02	감사헌금	0	0	10,000,000	10,000,000		
10101030000	주일헌금	0	0	0	0		
A01-04	선교헌금	6,000,000	0	15,000,000	9,000,000		
A01-04-01	국내	0	0	15,000,000	15,000,000		
A01-04-02	해외	0	0	0	0		
10101040201	해외(선교사)	0	0	0	0		
10101040300	[새이름]	0	0	0	0		
10101040400	기타	0	0	0	0		
A2	건축헌금	18,000,000	0	10,000,000	-8,000,000		
A2-01	현금	0	0	10,000,000	10,000,000		
A2-02	통장	0	0	0	0		
113	거제물	0	0	0	0		
A3	선교헌금	0	0	12,000,000	12,000,000		
A3-01	주일 선교헌금	0	0	12,000,000	12,000,000		
A4	일천번제헌금	0	0	0	0		
A4-01	일천번제헌금	0	0	0	0		
A7	주정헌금	0	0	0	0		
A7-01	주정헌금	0	0	0	0		
...	0	300,000	0	1,000,000	700,000		
121	0	150,000	0	1,000,000	850,000		
123	0	0	0	0	0		
10-1	절기헌금	0	0	2,000,000	2,000,000		
10104000000	0	0	0	0	0		
A8	선교헌금	0	0	0	0		
A8-01	해외선교	0	0	0	0		
A9	절기헌금	0	0	10,000,000	10,000,000		
A9-01	부활절	0	0	5,000,000	5,000,000		
A9-04	성탄절	0	0	5,000,000	5,000,000		
A9-06	신년	0	0	0	0		
A9-07	부활절	0	0	0	0		
A9-09	추수감사	0	0	0	0		
100100	십일조	0	0	0	0		
100200	절기헌금	0	0	0	0		
100201	신년헌금	0	0	0	0		
12600000000	헌금	0	0	1,050,000,000	1,050,000,000		
12603000000	주정헌금	0	0	50,000,000	50,000,000		
12601000000	십일조	0	0	1,000,000,000	1,000,000,000		
12602000000	감사헌금	0	0	0	0		
12602010000	일반감사	0	0	0	0		
12602020000	일천번제	0	0	0	0		
12604000000	선교헌금	0	0	0	0		
12605000000	절기헌금	0	0	0	0		
12605010000	맥추감사	0	0	0	0		
12200000000	헌금외	0	0	0	0		
12201000000	예적금만기	0	0	0	0		
12603000001	예배비	0	0	20,000,000	20,000,000		
12700000000	목회활동비	0	0	2,400,000	2,400,000		
13000000000	교육부	0	0	9,000,000	9,000,000		
13001000000	영아부	0	0	0	0		
13002000000	유치부	0	0	0	0		
13003000000	유년부	0	0	4,500,000	4,500,000		
13004000000	소년부	0	0	0	0		
13005000000	중등부	0	0	4,500,000	4,500,000		
13006000000	고등부	0	0	0	0		
	합계	24,300,000	0	1,141,400,000	1,117,100,000	
